estado,quantidade de alunos,Natureza,Humanas,Linguagens,Matematica,Redacao,Recacoes corrigidas,Redacoes zeradas,Redacoes 1000,ate 14 anos,media ate 14,14 - 19,Media 14 - 19,20 - 24,Media 20 - 24,25 - 29,Media 25 - 29,acima de 29,Media acima de 29,E. Federal,Media Federal,E. Estadual,Media Estadual,E. Municipal,Media Municipal,E. Privada,Media Privada,E. Publica Questionario,Media Publica Questionario,E. Privada Questionario,Media Privada Questionario,Com Pre Vest,Media Com Pre vest,Sem Pre Vest,Media Sem Pre Vest,a,a,a,a
SP,877617,499.22,564.31,528.51,499.86,511.01,877617,26677,29,657,516.41,546270,527.75,168985,521.07,63319,518.13,98386,502.88,668,617.16,208284,500.17,5482,521.56,78593,566.42,466373,504.16,39041,567.99,83808,546.17,438359,503.02,0,0,0,0
MG,673384,496.11,559.72,518.18,495.21,492.49,673384,28710,49,708,518.43,343063,521.78,166858,516.89,66488,516.24,96267,502.83,4145,608.24,114761,498.59,2043,509.76,30102,575.17,381303,503.63,24939,576.48,72568,541.58,340776,502.67,0,0,0,0
BA,440307,473.09,538.43,497.56,454.5,451.4,440307,26392,6,2054,481.38,199252,495.0,113018,488.32,51012,491.76,74971,483.52,1564,570.49,60063,472.83,877,460.76,18488,540.06,233921,482.52,13554,550.48,64465,503.03,175785,482.62,0,0,0,0
RJ,417761,494.21,563.74,525.12,493.05,514.15,417761,14988,31,304,519.59,221596,525.48,97488,515.59,35246,517.19,63127,502.7,4036,616.12,67811,492.07,1465,513.38,39560,553.44,176858,501.7,37479,543.43,57586,530.83,163653,502.23,0,0,0,0
CE,397079,471.43,531.06,495.41,458.94,449.38,397079,28627,14,2372,489.68,249607,485.45,74613,494.61,31688,500.94,38799,493.4,513,587.18,82351,469.45,255,463.53,14602,554.07,145839,483.56,14193,548.32,44050,513.71,103758,487.82,0,0,0,0
DF,103360,493.47,559.97,520.34,483.81,490.44,103360,5157,5,89,531.49,49244,528.94,26976,506.79,10347,501.07,16704,491.96,468,598.4,16838,496.23,2,513.59,8730,567.43,54860,491.17,5879,554.14,9088,538.45,54827,491.82,0,0,0,0
RS,311067,489.03,557.77,518.25,483.91,482.25,311067,13726,15,525,505.56,146639,516.63,77609,510.78,33204,513.58,53090,501.47,2065,577.68,57195,499.95,844,498.01,14903,549.9,194651,502.25,12014,548.82,29559,539.91,186448,500.59,0,0,0,0
PI,143393,469.39,528.52,489.7,448.86,422.09,143393,11736,5,866,487.89,67840,490.26,35350,478.79,17133,482.31,22204,475.09,861,554.26,20265,464.53,125,444.24,6356,539.65,56978,472.98,7143,526.86,18221,490.89,42361,477.68,0,0,0,0
MS,97545,477.02,540.93,497.39,462.47,442.11,97545,6072,7,625,501.33,43876,502.89,22078,488.12,11165,492.02,19801,483.97,377,576.77,14881,486.77,32,492.71,4412,536.21,57973,482.12,3707,536.44,11440,510.21,52646,482.51,0,0,0,0
PR,277352,493.63,559.01,516.36,488.21,487.72,277352,9873,7,638,503.81,156930,517.58,60006,513.49,24777,514.01,35001,501.38,1030,624.43,60797,496.45,120,475.38,18768,559.59,165251,500.67,10880,563.48,31064,541.0,151765,498.83,0,0,0,0
GO,182251,484.79,544.99,505.01,468.4,458.4,182251,9926,13,916,493.79,111162,503.85,37329,499.47,13652,500.29,19192,486.38,1335,561.83,35716,481.53,152,495.28,12673,547.7,94446,485.74,7699,546.05,15993,519.0,90548,486.9,0,0,0,0
AC,46636,457.48,524.97,478.69,432.75,412.11,46636,4115,1,259,480.94,18785,476.38,11763,470.01,6888,472.81,8941,472.21,74,509.52,6733,465.49,39,443.2,1274,496.37,26026,469.97,800,533.28,4686,490.18,21115,470.71,0,0,0,0
PE,306712,474.82,539.68,502.1,462.94,458.7,306712,19020,14,2050,483.03,154282,495.86,71913,495.1,31610,499.85,46857,488.51,1194,564.12,48855,477.07,307,467.59,16382,536.17,124665,485.5,16469,539.09,38534,513.49,104121,486.47,0,0,0,0
MA,216248,462.36,526.68,485.72,441.24,425.73,216248,18056,4,1581,468.67,112230,476.44,51601,480.19,23242,486.76,27594,481.22,1949,538.34,32815,460.94,219,454.78,8267,508.35,83601,476.78,7547,519.4,24083,498.71,65651,477.37,0,0,0,0
AL,105273,468.12,529.74,489.1,449.77,449.48,105273,6557,3,451,488.04,47406,488.65,27976,481.03,12996,483.88,16444,476.78,1034,552.83,12031,461.57,30,449.18,6622,514.88,43954,475.07,7876,510.25,10656,503.83,41029,477.11,0,0,0,0
PA,303882,468.12,533.51,489.32,442.69,446.49,303882,19682,12,1531,483.86,121487,487.74,82194,480.11,39199,483.71,59471,478.92,787,559.82,43151,466.01,878,453.94,12645,527.86,148519,476.87,9324,522.62,43403,501.72,105925,475.99,0,0,0,0
MT,115366,471.89,532.53,489.72,453.36,433.06,115366,8400,2,564,493.17,55665,491.24,25394,484.88,12738,487.47,21005,477.2,798,555.47,19462,474.84,65,459.03,5172,523.25,70464,477.39,4042,536.57,12702,500.22,65023,478.73,0,0,0,0
ES,111432,492.54,555.51,513.31,490.14,474.79,111432,6007,1,107,512.71,59604,519.66,25148,510.22,10639,509.6,15934,493.88,1282,607.4,26901,486.02,88,468.42,6298,561.98,65099,497.98,4101,560.74,11252,536.14,57434,495.95,0,0,0,0
AM,109999,461.75,529.27,484.95,441.91,451.13,109999,7502,1,305,486.38,49210,481.42,27577,476.67,13324,481.75,19583,476.85,951,528.77,24672,462.81,63,448.97,3788,522.37,57354,474.99,2962,528.94,12196,500.02,48115,474.75,0,0,0,0
RO,71307,469.27,533.42,487.35,448.48,412.31,71307,5357,0,315,493.33,31276,488.27,17628,481.95,8857,485.71,13231,478.68,624,550.73,12169,477.48,43,456.5,1914,508.84,45115,479.42,1286,539.66,5551,497.42,39623,481.07,0,0,0,0
PB,170162,473.79,537.71,499.49,459.28,460.34,170162,9773,8,1485,489.27,76236,493.57,43351,491.87,21970,496.31,27120,488.03,774,555.18,19913,471.9,368,459.57,7774,534.22,70944,483.67,8923,536.02,22786,505.29,57462,487.09,0,0,0,0
AP,44217,462.25,528.49,486.34,435.37,444.16,44217,2899,2,279,489.23,18864,476.88,11277,475.2,5644,483.37,8153,480.96,217,542.68,6666,462.78,5,463.25,1492,503.75,22071,475.92,1049,526.43,8473,495.59,14075,472.54,0,0,0,0
RN,149647,476.14,541.62,502.34,466.13,466.76,149647,7909,7,558,488.26,63294,498.22,40104,494.7,20402,499.72,25289,492.96,1399,580.81,16917,468.12,70,456.78,6954,529.92,65684,488.58,8890,540.44,21134,514.11,53934,489.54,0,0,0,0
SC,120256,497.77,561.54,519.3,496.2,504.21,120256,3774,5,484,505.29,80934,519.52,21579,520.91,7813,521.69,9446,504.92,1208,572.73,32964,498.17,431,511.01,11011,563.25,63345,504.14,6348,566.79,9226,548.76,64398,505.19,0,0,0,0
RR,17165,465.28,527.66,483.78,443.24,440.86,17165,1279,0,69,479.11,8709,481.35,3992,479.11,1777,481.15,2618,476.05,303,541.57,3088,468.69,4,445.1,630,507.61,9162,476.32,311,537.11,2768,492.51,6435,474.85,0,0,0,0
TO,47008,465.93,526.41,486.07,447.58,413.95,47008,4071,0,397,492.88,28204,481.96,10483,482.73,3644,482.86,4280,473.22,463,546.01,9731,466.7,24,467.34,1997,511.41,22480,473.95,850,545.2,3765,501.62,19330,474.71,0,0,0,0
SE,91317,472.37,532.51,491.18,452.86,440.19,91317,5794,6,826,492.28,42828,491.56,23381,481.51,10900,486.93,13382,483.3,351,565.91,10625,469.41,62,471.15,4982,535.24,38966,477.27,4937,521.27,13287,500.65,28867,479.06,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
